,name,sold,rating,price,city
0,Flip Case REALME C11 Flip Cover Flip Wallet Standing Dompet Casing HP - Coklat,19.0,4.9,35000,Jakarta Pusat
1,Flip Case REALME C3 Flip Cover Flip Wallet Standing Dompet Casing HP - Hitam,4.0,5.0,35000,Jakarta Pusat
2,Flip Case VIVO V23E Flip Cover Flip Wallet Standing Dompet Casing - MARUN,100.0,4.9,35000,Jakarta Pusat
3,Custom Case Casimg Hp - Softcase Custom,250.0,4.9,17900,Jakarta Barat
4,BASEUS WATERPROOF CASING SARUNG PHONE HP HANDPHONE CASE ANTI AIR HUJAN - BLACK GREY,500.0,4.9,99000,Jakarta Utara
5,CASE OPPO RENO 8T 4G SOFT CASE VEGAN LEATHER LUXURY CASING COVER HP - Hitam,,,45000,
9,CUSTOM CASE CUSTOM COSTUM CASE CASING CASE HP CUSTOM HARDCASE SOFTCASE,,,50000,
10,"Case Samsung A13 4G A23 A33 A53 A73 Terbaru Casing Softcase Silikon Hp - Hitam, A13 4G",500.0,4.9,50000,Jakarta Barat
14,BASEUS Lets Go Airbag Waterproof Phone Case Casing Sarung HP Anti Air - BLACK GREY,,,99000,
15,"CASE OPPO A3S A5S A7 A11K A12 CASING HP WAVY POOH LOTSO A12 - S107, OPPO A12",,,18300,
44,Case Xiaomi Poco M4 Pro 4G Case Premium Quality Casing Handphone - Fusion/Xundd,100.0,4.7,17500,Jakarta Barat
45,Case DEER Realme 7i. C17 Softcase Bermoptif Jens TPU Casing Handphone,70.0,4.8,18525,Jakarta Selatan
46,"CASE OPPO A76 A96 A77S A57 CASING HP WAVY POOH LOTSO - S107, OPPO A57",11.0,5.0,18300,Jakarta Barat
49,CASE XIAOMI REDMI NOTE 4X / 4 / 4PRO SNAPDRAGON CASING SLIM HP COVERS,,,10500,
